职位名称,公司名称,薪资范围,工作地点,经验要求,学历要求,职位类型,技能标签,福利待遇
H5游戏开发工程师,恒诺尚辰,9k-13k,[大连·甘井子区],经验3-5年 , 本科,医疗,暂无,"“五险一金,定期体检,绩效奖金”"
unity3d游戏开发工程师,英伦丰创,10k-20k,[武汉·江岸区],经验1-3年 , 本科,"移动互联网,电商 ",C#软件服务｜咨询3D游戏客户端开发经验,“双休 五险一金 年终奖金 定期技术培训”
layabox H5 游戏开发工程师,奇侠互动,5k-8k,[杭州·西兴],暂无,暂无,游戏 ,Html5JavaScript,“六险一金”
游戏开发主程,大力软件,20k-30k,[珠海·香洲区],经验1-3年 , 大专,软件服务,C++服务端开发经验C++skynetlua计算机相关专业,“晋升空间大、工作时间合理”
游戏开发工程师,小小网络,5k-10k,[汕头·龙湖区],经验不限 , 不限,游戏 ,Unity3DJavaScript手游开发经验Unity3D开发经验,“稳定”
u3d游戏开发工程师,长沙趣找,25k-35k,[长沙·岳麓区],经验3-5年 , 本科,社交平台 ,Unity3D3D游戏客户端开发经验手游开发经验Unity3D开发经验,“老板人很好，团队氛围好，入职购买五险一金”
cocos creator游戏开发工程师,指尖与乐,5k-10k,[武汉·关山],经验1-3年 , 大专,游戏 ,多平台SDK接入CocosCreator手游开发经验小游戏开发,“团队氛围轻松和谐，职位晋升空间大”
游戏开发工程师,小数点,15k-22k,[广州·天河区],经验3-5年 , 大专,IT技术服务,Laya3DShader开发经验IT技术服务｜咨询手游开发经验计算机/软件工程相关专业,“福利待遇高，每周三下午茶，老板性格好”
cocos游戏开发工程师,乐谊狸,12k-15k,[上海·漕河泾],经验不限 , 不限,游戏 ,手游开发经验,“股份激励”
游戏开发工程师,煊烨传媒,11k-22k,[保定·容城县],经验3-5年 , 本科,"短视频,MCN",JAVAJavaScript休闲｜娱乐Objective-C手游开发经验,“为了不断提升我们的表现，我们需要识别并改”
小游戏开发（unity方向）,掌游天下Zplay,10k-18k,[长沙·望城区],经验3-5年 , 本科,游戏 ,计算机/软件工程相关专业,“重点项目，大牛带队”
cocos creator游戏开发工程师,同趣,7k-12k,[武汉·关山],经验1-3年 , 本科,旅游,C#C/C++手游开发经验Unity3D开发经验,“五险 年假”
unity3d游戏开发工程师,梦境出游,12k-18k,[武汉·关山],经验5-10年 , 本科,游戏 ,JavaScriptcocos creator计算机/软件工程相关专业,“游戏行业领头羊 福利丰厚 资金雄厚”
cocos游戏开发工程师,奶糖互娱,8k-13k,[杭州·余杭区],经验不限 , 大专,游戏 ,cocos2dxcocos creator手游开发经验小游戏开发,“福利待遇好，发展前景大”
职等你-cocos游戏开发工程师(13薪、晋升),极度信息,10k-15k,[长沙·芙蓉区政府],经验3-5年 , 大专,"移动互联网,文娱丨内容 ",TypeScriptJavaScript手游开发经验2d游戏,“年终奖：13薪（年底双薪）”
cocos creator游戏开发工程师,鲜芋科技,15k-20k,[杭州·西溪],经验3-5年 , 本科,游戏 ,暂无,“有爱团队，发展空间大”
游戏策划,Jackpot 杰克帕特,8k-15k,[北京·立水桥],经验1-3年 , 本科,游戏 ,数值策划数据分析关卡策划海外休闲游戏逻辑能力,“发展空间大 弹性工作 工作氛围好 大牛多”
游戏策划,Castbox,12k-20k,[北京·望京],经验1-3年 , 本科,音频,节日礼物年底双薪绩效奖金岗位晋升,“扁平管理 出海游戏 不卷”
游戏策划,博乐科技,12k-20k,[北京·来广营],经验不限 , 本科,游戏 ,游戏,“六险一金，餐补，房补，项目奖金”
执行策划,Jackpot 杰克帕特,10k-20k,[北京·立水桥],经验1-3年 , 本科,游戏 ,数值策划休闲｜娱乐系统策划,“项目奖金，双休”
关卡策划,CMGE中手游,20k-40k,[上海·龙柏],经验3-5年 , 本科,游戏 ,休闲｜娱乐,“战略项目”
游戏策划,边锋,18k-35k,[杭州·西湖区],经验5-10年 , 本科,游戏 ,关卡策划剧情策划系统策划,“公司背景强大，福利待遇完成，核心关键岗位”
游戏主策划,闲徕互娱,25k-50k,[北京·朝阳门],经验5-10年 , 本科,游戏 ,UE系统策划,“平台好、核心团队、不要996”
海外游戏制作人/主策划（广州）,塔思科技,25k-50k,[广州·东圃],经验5-10年 , 本科,"游戏,软件服务",数值策划关卡策划剧情策划系统策划,“年度体检/团建 公司旅游 年底双薪”
游戏策划,弈秋网络,15k-30k,[深圳·大冲],经验5-10年 , 大专,"游戏,软件服务",移动互联网,“周末双休 晚餐补贴 交通补贴 健康体检”
海外游戏制作人/主策划（北京）,塔思科技,25k-50k,[北京·望京],经验5-10年 , 本科,"游戏,软件服务",数值策划三消游戏,“年度体检/团建 公司旅游 年底双薪”
抖音社交游戏策划,字节跳动,30k-60k,[深圳·南山区],经验3-5年 , 本科,"内容资讯,短视频 ",游戏,"“下午茶,健身瑜伽,六险一金,股票期权”"
高级游戏关卡策划（休闲三消）,竞技世界,25k-35k,[北京·回龙观],经验5-10年 , 本科,游戏 ,交通补助绩效奖金节日礼物定期体检,“上升空间大 团队氛围好”
关卡策划 J10493,卓越工坊（北京）科技有限公司,20k-40k,[苏州·虎丘区],经验5-10年 , 大专,游戏 ,技能培训领导好节日礼物,“五险一金 年终奖金 带薪年假 体检 发展空间”
游戏系统策划,边锋,20k-40k,[杭州·翠苑],经验3-5年 , 本科,游戏 ,暂无,“全额五险一金；周末双休”
游戏系统策划,乐元素游戏,18k-30k,[北京·海淀区],经验3-5年 , 本科,游戏 ,暂无,“准上线项目 奖金丰厚”
海外游戏制作人/主策划（成都）,塔思科技,25k-50k,[成都·武侯区],经验5-10年 , 本科,"游戏,软件服务",数值策划关卡策划剧情策划系统策划,“年度体检/团建 公司旅游 年底双薪”
资深战斗策划 J10510,卓越工坊（北京）科技有限公司,25k-40k,[苏州·湖东],经验10年以上 , 大专,游戏 ,游戏,“知名IP，开放世界SOC RPG手游，UE5引擎”
资深系统策划,Zenjoy,20k-35k,[北京·朝阳门],经验5-10年 , 本科,游戏 ,游戏游戏策划,“六险一金，出国旅行，一日三餐，年底双薪”
游戏策划,爱扑网络,7k-12k,[上海·宝山区],经验1-3年 , 本科,游戏 ,智能硬件,"“五险一金,全勤奖,定期体检”"
游戏策划,灵童机器人,6k-12k,[成都·武侯区],经验3-5年 , 本科,智能硬件 ,社交平台,“五险一金”
系统策划（休闲游戏方向）,新言科技,13k-20k,[广州·天河区],经验3-5年 , 本科,"社交平台,游戏 ",节日礼物技能培训绩效奖金岗位晋升,“13薪，季度奖金，加班薪资等”
游戏系统策划,CMGE中手游,20k-30k,[北京·酒仙桥],经验5-10年 , 大专,游戏 ,游戏策划,“发展前景”
关卡策划（消除类游戏方向）,Zenjoy,10k-20k,[北京·朝阳门],经验1-3年 , 本科,游戏 ,技能培训领导好节日礼物,“六险一金，出国旅行，一日三餐，年底双薪”
游戏系统策划,乐元素游戏,18k-30k,[北京·海淀区],经验3-5年 , 本科,游戏 ,游戏,“准上线项目 奖金丰厚”
资深关卡策划,卓越工坊（北京）科技有限公司,25k-40k,[苏州·湖东],经验10年以上 , 大专,游戏 ,数值策划战斗策划系统策划资源策划,“知名IP， 开放世界SOC RPG，UE5引擎”
游戏策划实习生（系统/数值/战斗/资源向）,盖娅互娱,2k-3k,[北京·望京],暂无,暂无,游戏 ,数值策划战斗策划系统策划,“周末双休 有转正机会”
游戏策划（战斗/数值/系统）,网龙网络公司,15k-30k,[福州·温泉],经验1-3年 , 本科,"移动互联网,游戏 ",交通补助绩效奖金节日礼物定期体检,“五险一金”
资深游戏数值策划,边锋,30k-60k,[杭州·翠苑],经验5-10年 , 本科,游戏 ,rpgMMO,“全额五险一金、周末双休”
游戏数值策划,小野人,13k-18k,[深圳·西丽],经验3-5年 , 大专,游戏 ,数值策划关卡策划剧情策划战斗策划系统策划,“告别加班！ 告别内卷！ 告别996！”
游戏策划,智游九阴,15k-30k,[广州·番禺区],经验3-5年 , 本科,游戏 ,暂无,“期间自由”
资深游戏关卡策划（消除类游戏方向）,Zenjoy,20k-35k,[北京·朝阳门],经验5-10年 , 本科,游戏 ,节日礼物顶配Mac小而美扁平管理,“六险一金，出国旅行，一日三餐，年底双薪”
资深战斗策划,卓越工坊（北京）科技有限公司,25k-40k,[苏州·湖东],经验10年以上 , 大专,游戏 ,游戏,“知名IP，开放世界SOC RPG手游，UE5引擎”
高级系统策划,卓越工坊（北京）科技有限公司,20k-35k,[苏州·湖东],经验5-10年 , 大专,游戏 ,游戏,“福利待遇好、发展前景大”
高级游戏策划/主策划,杭州彩菱科技有限公司,15k-25k,[杭州·西溪],经验5-10年 , 本科,游戏 ,数值策划手游剧情策划战斗策划系统策划,“五险一金、项目奖金、节日福利、下午茶、团建”
资深游戏策划/主策/制作人/运营策划,Magic Tavern,30k-60k,[北京·左家庄],经验5-10年 , 本科,游戏 ,游戏运营系统策划商业化策划,“爆款产品”
游戏主系统策划（MMO/SLG）,自由间隙,25k-50k,[上海·漕河泾],经验5-10年 , 本科,"游戏,区块链,人工智能服务 ",游戏策划,“大公司，大项目，大平台，福利待遇好”
游戏数值策划,Zenjoy,15k-20k,[北京·朝阳门],经验3-5年 , 本科,游戏 ,交通补助绩效奖金节日礼物定期体检,“六险一金，出国旅行，一日三餐，年底双薪”
资深游戏数值策划,边锋,30k-60k,[杭州·翠苑],经验5-10年 , 本科,游戏 ,节日礼物年底双薪绩效奖金岗位晋升,“全额五险一金、周末双休”
游戏数值策划,博乐科技,12k-18k,[北京·朝阳区],经验不限 , 本科,游戏 ,年底双薪绩效奖金带薪年假交通补助,“六险一金，餐补房补，项目奖金”
游戏数值策划,得游互娱,13k-25k,[福州·台江区],经验3-5年 , 大专,游戏 ,数值剧情游戏游戏策划,“五险一金、带薪年假”
游戏数值策划,新言科技,12k-20k,[广州·天河区],经验1-3年 , 本科,"社交平台,游戏 ",执行策划任务策划,“绩效奖/13薪/每天下午茶/餐补/车补/节日礼品”
游戏系统策划,乐堂控股集团,12k-20k,[广州·天河区],经验3-5年 , 本科,"移动互联网,游戏 ",手游策划游戏执行策划系统策划,"“五险一金,绩效奖金,年终奖金”"
执行系统策划,心游科技,4k-8k,[珠海·香洲区],经验不限 , 大专,游戏 ,暂无,"“牛人多,团队氛围好,双休,工作环境好”"
游戏策划实习生（任务、执行方向）,汉家松鼠,4k-6k,[成都·高新区],暂无,暂无,游戏 ,暂无,“项目好，小伙伴游戏，工作氛围好”
