职位名称,公司名称,薪资范围,工作地点,经验要求,学历要求,职位类型,技能标签,福利待遇
南京鸿蒙车控SDK测试,上海煜麦网络科技有限公司,10k-12k,[南京·栖霞区],经验5-10年 , 大专,智能硬件 ,智能硬件,"“五险一金,绩效奖金,弹性工作”"
鸿蒙系统驱动开发工程师,盛博科技,20k-40k,[深圳·南山区],经验1-3年 , 本科,新媒体 ,JAVA音频｜视频媒体HarmonyOSAndroidKotlin,"“五险一金,绩效奖金,定期体检”"
安卓/鸿蒙开发工程师,听听FM,13k-20k,[北京·建国门],经验3-5年 , 本科,其他 ,智能硬件,“福利待遇、弹性工作”
高级鸿蒙开发工程师,欣威智能,20k-40k,[深圳·光明区],经验3-5年 , 本科,智能硬件 ,智能硬件,"“绩效奖金,周末双休,股票期权”"
鸿蒙底层开发工程师（深圳）,亮钻科技,10k-20k,[深圳·光明区],经验1-3年 , 本科,智能硬件 ,网络通信,"“五险一金,绩效奖金,弹性工作”"
鸿蒙底层开发工程师（广州）,亮钻科技,10k-20k,[广州·番禺区],经验1-3年 , 本科,网络通信 ,网络通信,"“五险一金,绩效奖金,弹性工作”"
鸿蒙驱动工程师 (MJ004231),上海移远通信技术股份有限公司,13k-26k,[合肥·蜀山区],经验3-5年 , 大专,网络通信 ,暂无,"“五险一金,定期体检,专业培训”"
上海鸿蒙车控sdk嵌入式开发工程师,上海煜麦网络科技有限公司,14k-17k,[上海·闵行区],经验5-10年 , 大专,网络通信 ,网络通信,"“五险一金,绩效奖金,弹性工作”"
鸿蒙底层开发工程师（上海）,亮钻科技,10k-20k,[上海·闵行区],经验1-3年 , 本科,智能硬件 ,智能硬件,"“五险一金,绩效奖金,弹性工作”"
鸿蒙开发工程师,海圳汽车,9k-16k,[深圳·宝安区],经验3-5年 , 本科,"新媒体,文化传媒 ",新媒体文化传媒,"“免费班车,员工旅游,专业培训”"
Java鸿蒙开发助理,河南甫得影视,6k-8k,[郑州·金水区],经验不限 , 不限,智能硬件 ,智能硬件,"“五险一金,绩效奖金,定期体检”"
鸿蒙工程师,森沛科技（深圳）有限公司,15k-20k,[深圳·宝安区],经验1-3年 , 本科,专业服务,营销服务｜咨询专业服务｜咨询,"“五险一金,做五休二,团队氛围好”"
鸿蒙应用开发工程师,珠海思创电气有限公司,8k-15k,[珠海·金湾区],经验1-3年 , 本科,"汽车交易平台,新能源汽车制造 ",新能源汽车制造汽车交易平台,"“五险一金,免费三餐,绩效奖金”"
鸿蒙APP开发,卓尔设计,15k-18k,[武汉·武昌区],经验3-5年 , 本科,专业服务,物流平台架构设计/优化服务业HarmonyOS,"“五险一金,绩效奖金,定期体检”"
